Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Weekday,Month,Year
09/03/2016,16:00,10.097,10.297,10.097,10.297,0.03,1.980786372,0.019807864,1.000000000,Wednesday,March,2016
09/03/2016,17:00,11.197,11.197,11.197,11.197,0.01,0.000000000,0.000000000,0.000000000,Wednesday,March,2016
09/03/2016,18:00,11.097,11.097,11.097,11.097,0.02,0.000000000,0.000000000,0.000000000,Wednesday,March,2016
09/03/2016,20:00,11.195,11.195,10.66,10.66,1.11,-4.778919160,0.047789192,1.000000000,Wednesday,March,2016
09/03/2016,21:00,11.197,11.197,10.87,10.87,40.0,-2.920425114,0.029204251,1.000000000,Wednesday,March,2016
10/03/2016,16:00,11.072,11.75,11.072,11.75,0.03,6.123554913,0.061235549,1.000000000,Thursday,March,2016
10/03/2016,17:00,11.75,11.85,11.75,11.85,1.0,0.851063830,0.008510638,1.000000000,Thursday,March,2016
11/03/2016,10:00,11.85,11.85,11.85,11.85,0.03,0.000000000,0.000000000,0.000000000,Friday,March,2016
11/03/2016,17:00,11.8,11.8,11.8,11.8,0.01,0.000000000,0.000000000,0.000000000,Friday,March,2016
11/03/2016,18:00,11.8,11.8,11.8,11.8,0.7,0.000000000,0.000000000,0.000000000,Friday,March,2016
11/03/2016,21:00,11.85,11.95,11.85,11.95,4.06,0.843881857,0.008438819,1.000000000,Friday,March,2016
11/03/2016,22:00,11.95,11.95,11.95,11.95,7.04,0.000000000,0.000000000,0.000000000,Friday,March,2016
11/03/2016,23:00,11.95,11.95,11.95,11.95,39.0,0.000000000,0.000000000,0.000000000,Friday,March,2016
12/03/2016,02:00,11.95,12.18,11.95,12.18,60.15,1.924686192,0.019246862,1.000000000,Saturday,March,2016
12/03/2016,03:00,12.207,12.75,12.207,12.75,38.6,4.448267388,0.044482674,1.000000000,Saturday,March,2016
12/03/2016,04:00,12.97,13.15,12.76,12.81,14.0,-1.233616037,0.030069391,0.410256410,Saturday,March,2016
12/03/2016,07:00,13.15,13.15,13.15,13.15,14.99,0.000000000,0.000000000,0.000000000,Saturday,March,2016
12/03/2016,09:00,13.3,13.3,12.6,12.6,6.39,-5.263157895,0.052631579,1.000000000,Saturday,March,2016
12/03/2016,12:00,13.35,13.45,13.331,13.331,101.24,-0.142322097,0.008913858,0.159663866,Saturday,March,2016
12/03/2016,18:00,12.918,12.918,12.918,12.918,2.41,0.000000000,0.000000000,0.000000000,Saturday,March,2016
13/03/2016,00:00,13.45,13.85,13.45,13.85,195.41,2.973977695,0.029739777,1.000000000,Sunday,March,2016
13/03/2016,01:00,13.85,13.95,13.85,13.95,14.48,0.722021661,0.007220217,1.000000000,Sunday,March,2016
13/03/2016,10:00,14.55,14.55,14.55,14.55,1.3,0.000000000,0.000000000,0.000000000,Sunday,March,2016
13/03/2016,12:00,14.286,14.286,14.286,14.286,0.01,0.000000000,0.000000000,0.000000000,Sunday,March,2016
13/03/2016,15:00,13.989,13.989,13.989,13.989,0.01,0.000000000,0.000000000,0.000000000,Sunday,March,2016
13/03/2016,19:00,14.55,14.55,14.55,14.55,48.7,0.000000000,0.000000000,0.000000000,Sunday,March,2016
13/03/2016,20:00,14.85,15.0,14.85,15.0,108.73,1.010101010,0.010101010,1.000000000,Sunday,March,2016
13/03/2016,21:00,15.074,15.074,15.074,15.074,1.0,0.000000000,0.000000000,0.000000000,Sunday,March,2016
13/03/2016,23:00,14.84,14.84,14.456,14.456,9.63,-2.587601078,0.025876011,1.000000000,Sunday,March,2016
14/03/2016,00:00,14.531,14.531,11.4,12.047,8.88,-17.094487647,0.215470374,0.793356755,Monday,March,2016
14/03/2016,01:00,12.81,13.162,12.298,12.965,14.48,1.209992194,0.067447307,0.179398148,Monday,March,2016
14/03/2016,02:00,13.303,13.303,13.303,13.303,1.33,0.000000000,0.000000000,0.000000000,Monday,March,2016
14/03/2016,09:00,13.25,13.25,13.1,13.1,19.99,-1.132075472,0.011320755,1.000000000,Monday,March,2016
14/03/2016,10:00,13.1,13.1,13.0,13.0,5.99,-0.763358779,0.007633588,1.000000000,Monday,March,2016
14/03/2016,11:00,13.5,13.659,13.4,13.47,177.15,-0.222222222,0.019185185,0.115830116,Monday,March,2016
14/03/2016,12:00,13.55,14.2,13.35,14.2,3167.05,4.797047970,0.062730627,0.764705882,Monday,March,2016
14/03/2016,13:00,14.25,14.25,13.65,13.999,1796.47,-1.761403509,0.042105263,0.418333333,Monday,March,2016
14/03/2016,14:00,14.0,14.02,13.6,13.6,4249.23,-2.857142857,0.030000000,0.952380952,Monday,March,2016
14/03/2016,15:00,13.561,13.88,13.561,13.71,910.21,1.098739031,0.023523339,0.467084639,Monday,March,2016
14/03/2016,16:00,13.718,13.799,13.68,13.68,1116.38,-0.277008310,0.008674734,0.319327731,Monday,March,2016
14/03/2016,17:00,13.78,13.976,13.78,13.9,428.06,0.870827286,0.014223512,0.612244898,Monday,March,2016
14/03/2016,18:00,13.9,14.746,13.9,14.742,1074.42,6.057553957,0.060863309,0.995271868,Monday,March,2016
14/03/2016,19:00,14.751,14.95,13.35,13.655,3737.33,-7.430004745,0.108467223,0.685000000,Monday,March,2016
14/03/2016,20:00,13.565,13.909,13.5,13.708,590.54,1.054183561,0.030151124,0.349633252,Monday,March,2016
14/03/2016,21:00,13.708,13.862,13.3,13.3,530.14,-2.976364167,0.040997957,0.725978648,Monday,March,2016
14/03/2016,22:00,13.367,13.41,12.0,12.925,5085.67,-3.306650707,0.105483654,0.313475177,Monday,March,2016
14/03/2016,23:00,12.94,12.94,11.607,12.403,4992.71,-4.149922720,0.103013910,0.402850713,Monday,March,2016
15/03/2016,00:00,12.421,12.922,12.42,12.665,1942.2,1.964415103,0.040415425,0.486055777,Tuesday,March,2016
15/03/2016,01:00,12.571,12.756,12.571,12.633,265.29,0.493198632,0.014716411,0.335135135,Tuesday,March,2016
15/03/2016,02:00,12.763,12.83,12.575,12.575,288.36,-1.473007913,0.019979629,0.737254902,Tuesday,March,2016
