Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Date,Weekday
09/03/2016,16:00,10.097,11.197,10.097,11.097,0.06,9.903931861,0.108943250,0.909090909,09/03/2016,Wednesday
09/03/2016,20:00,11.195,11.197,10.66,10.87,41.11,-2.903081733,0.047967843,0.605214153,09/03/2016,Wednesday
10/03/2016,16:00,11.072,11.85,11.072,11.85,1.03,7.026734104,0.070267341,1.000000000,10/03/2016,Thursday
11/03/2016,08:00,11.85,11.85,11.85,11.85,0.03,0.000000000,0.000000000,0.000000000,11/03/2016,Friday
11/03/2016,16:00,11.8,11.8,11.8,11.8,0.71,0.000000000,0.000000000,0.000000000,11/03/2016,Friday
11/03/2016,20:00,11.85,11.95,11.85,11.95,50.1,0.843881857,0.008438819,1.000000000,11/03/2016,Friday
12/03/2016,00:00,11.95,12.75,11.95,12.75,98.75,6.694560669,0.066945607,1.000000000,12/03/2016,Saturday
12/03/2016,04:00,12.97,13.15,12.76,13.15,28.99,1.387818042,0.030069391,0.461538462,12/03/2016,Saturday
12/03/2016,08:00,13.3,13.3,12.6,12.6,6.39,-5.263157895,0.052631579,1.000000000,12/03/2016,Saturday
12/03/2016,12:00,13.35,13.45,13.331,13.331,101.24,-0.142322097,0.008913858,0.159663866,12/03/2016,Saturday
12/03/2016,16:00,12.918,12.918,12.918,12.918,2.41,0.000000000,0.000000000,0.000000000,12/03/2016,Saturday
13/03/2016,00:00,13.45,13.95,13.45,13.95,209.89,3.717472119,0.037174721,1.000000000,13/03/2016,Sunday
13/03/2016,08:00,14.55,14.55,14.55,14.55,1.3,0.000000000,0.000000000,0.000000000,13/03/2016,Sunday
13/03/2016,12:00,14.286,14.286,13.989,13.989,0.02,-2.078958421,0.020789584,1.000000000,13/03/2016,Sunday
13/03/2016,16:00,14.55,14.55,14.55,14.55,48.7,0.000000000,0.000000000,0.000000000,13/03/2016,Sunday
13/03/2016,20:00,14.85,15.074,14.456,14.456,119.36,-2.653198653,0.041616162,0.637540453,13/03/2016,Sunday
14/03/2016,00:00,14.531,14.531,11.4,13.303,24.68,-8.450898080,0.215470374,0.392206963,14/03/2016,Monday
14/03/2016,08:00,13.25,13.659,13.0,13.47,203.13,1.660377358,0.049735849,0.333839150,14/03/2016,Monday
14/03/2016,12:00,13.55,14.25,13.35,13.71,10122.97,1.180811808,0.066420664,0.177777778,14/03/2016,Monday
14/03/2016,16:00,13.718,14.95,13.35,13.655,6356.19,-0.459250620,0.116635078,0.039375000,14/03/2016,Monday
14/03/2016,20:00,13.565,13.909,11.607,12.403,11199.05,-8.566162919,0.169701438,0.504778454,14/03/2016,Monday
15/03/2016,00:00,12.421,12.922,11.98,12.079,3445.1,-2.753401497,0.075839304,0.363057325,15/03/2016,Tuesday
15/03/2016,04:00,12.075,12.843,12.06,12.701,1962.0,5.184265010,0.064844720,0.799489144,15/03/2016,Tuesday
15/03/2016,08:00,12.741,13.15,12.741,13.058,2228.95,2.488030767,0.032101091,0.775061125,15/03/2016,Tuesday
15/03/2016,12:00,13.006,13.421,12.12,12.428,3346.77,-4.444102722,0.100030755,0.444273636,15/03/2016,Tuesday
15/03/2016,16:00,12.456,13.195,12.161,12.957,2016.21,4.022157996,0.083012203,0.484526112,15/03/2016,Tuesday
15/03/2016,20:00,12.932,13.101,12.75,13.1,194.01,1.299103000,0.027141973,0.478632479,15/03/2016,Tuesday
16/03/2016,00:00,13.1,13.53,13.1,13.12,1146.16,0.152671756,0.032824427,0.046511628,16/03/2016,Wednesday
16/03/2016,04:00,13.12,13.645,13.12,13.319,741.57,1.516768293,0.040015244,0.379047619,16/03/2016,Wednesday
16/03/2016,08:00,13.291,13.763,13.156,13.572,406.75,2.114212625,0.045670002,0.462932455,16/03/2016,Wednesday
16/03/2016,12:00,13.556,13.89,13.159,13.159,1571.46,-2.928592505,0.053924461,0.543091655,16/03/2016,Wednesday
16/03/2016,16:00,13.159,13.2,12.621,13.123,1315.14,-0.273577020,0.044000304,0.062176166,16/03/2016,Wednesday
16/03/2016,20:00,13.12,13.15,12.409,12.548,946.88,-4.359756098,0.056478659,0.771929825,16/03/2016,Wednesday
17/03/2016,00:00,12.548,12.62,12.17,12.533,2988.42,-0.119540963,0.035862289,0.033333333,17/03/2016,Thursday
17/03/2016,04:00,12.441,12.53,11.793,11.978,2985.79,-3.721565791,0.059239611,0.628222524,17/03/2016,Thursday
17/03/2016,08:00,12.127,12.239,10.71,10.904,7012.24,-10.084934444,0.126082296,0.799869196,17/03/2016,Thursday
17/03/2016,12:00,10.924,11.55,10.436,11.055,6225.1,1.199194434,0.101977298,0.117594255,17/03/2016,Thursday
17/03/2016,16:00,11.1,11.284,10.635,11.271,3832.92,1.540540541,0.058468468,0.263482280,17/03/2016,Thursday
17/03/2016,20:00,11.372,11.53,10.743,11.057,3238.85,-2.769961308,0.069205065,0.400254130,17/03/2016,Thursday
18/03/2016,00:00,11.08,11.198,10.5,10.94,2252.02,-1.263537906,0.062996390,0.200573066,18/03/2016,Friday
18/03/2016,04:00,10.94,11.12,10.337,10.342,1460.44,-5.466179159,0.071572212,0.763729246,18/03/2016,Friday
